experiment,workflow,energy_trace,shift_mode,c_value,deadline_factor,deadline,task_ordering,scheduling_hash,power_distribution,min_makespan,makespan,workflow_stretch,brown_energy_used,green_energy_used,total_energy,green_energy_not_used,max_active_tasks,active_tasks_mean,active_tasks_std,number_of_tasks,scheduling_violations
J9_E142,soykb,trace-1,right-left,0.8,1,22698,power,-1749473214181878881,uniform,22698,21378,21378,0,2820948.0391519936,2820948.0391519936,6513791051.960848,321,157.77466251298026,102.7656139745025,993,0
J9_E143,soykb,trace-1,right-left,0.8,1,22698,runtime,-5911158560968955332,uniform,22698,21378,21378,7.567751758585928e-07,2820948.039153064,2820948.039153821,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E144,soykb,trace-1,right-left,0.8,1,22698,runtime_ascending,-4853428913892275104,uniform,22698,21927,21927,0,2820948.0391501696,2820948.0391501696,6513791051.960848,382,151.68490153172866,123.09884029321582,993,0
J9_E145,soykb,trace-1,right-left,0,2,45396,energy,-5911158560968955332,uniform,22698,21378,21378,6.185689294113672e-07,2820948.0391532,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E146,soykb,trace-1,right-left,0,2,45396,power,-5911158560968955332,uniform,22698,21378,21378,3.8822518533265793e-07,2820948.039151629,2820948.0391520173,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E147,soykb,trace-1,right-left,0,2,45396,runtime,-5911158560968955332,uniform,22698,21378,21378,4.957189325693889e-07,2820948.039153321,2820948.039153817,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E148,soykb,trace-1,right-left,0,2,45396,runtime_ascending,-5911158560968955332,uniform,22698,21378,21378,6.339251790166145e-07,2820948.0391531847,2820948.0391538185,6513791051.960848,311,151.79545454545453,94.64709128276844,993,0
J9_E149,soykb,trace-1,right-left,0.2,2,45396,energy,1859455638123809181,uniform,22698,26525,26525,6.377642414179263e-07,2820948.0391531824,2820948.0391538204,6513791051.960848,313,141.92041522491348,91.14907003441739,993,0
J9_E150,soykb,trace-1,right-left,0.2,2,45396,power,-2732240218047365700,uniform,22698,24164,24164,0,2820948.0391519926,2820948.0391519926,6513791051.960848,275,129.68327702702703,75.07726214167003,993,0
J9_E151,soykb,trace-1,right-left,0.2,2,45396,runtime,-3012795660218667234,uniform,22698,26525,26525,3.0184628130314195e-07,2820948.0391516993,2820948.039152001,6513791051.960848,275,140.19039595619208,92.09234940161163,993,0
J9_E152,soykb,trace-1,right-left,0.2,2,45396,runtime_ascending,9149519257462745507,uniform,22698,21614,21614,3.86785536932166e-07,2820948.039151634,2820948.039152021,6513791051.960848,335,166.38256880733945,113.41154920842192,993,0
J9_E153,soykb,trace-1,right-left,0.5,2,45396,energy,-9211466314564918486,uniform,22698,34245,34245,4.803626829641416e-07,2820948.0391533226,2820948.039153803,6513791051.960848,218,82.33609958506224,57.09066985455594,993,0
