energy_trace,power_distribution,workflow,c_value,deadline_factor,shift_mode,task_ordering,AVERAGE_of_brown_energy_used,AVERAGE_of_green_energy_used,AVERAGE_of_makespan,AVERAGE_of_workflow_stretch
trace-1,gaussian,cycles,0.5,2,left,runtime,0.0000002475,2718358.17778183,26630.4,26630.4
trace-1,gaussian,cycles,0.5,2,left,runtime_ascending,0.0000007738,2718358.17778303,22964.1,22964.1
trace-1,gaussian,cycles,0.5,2,none,energy,0.0000000447,2718358.17778312,35751,35751
trace-1,gaussian,cycles,0.5,2,none,power,0.0000004985,2718358.17778193,28641.4,28641.4
trace-1,gaussian,cycles,0.5,2,none,runtime,0.0000002754,2718358.1777829,35751,35751
trace-1,gaussian,cycles,0.5,2,none,runtime_ascending,17.0858710406,2718341.09191295,27397,27397
trace-1,gaussian,cycles,0.5,2,right-left,energy,0.0000000276,2718358.17778177,26690.4,26690.4
trace-1,gaussian,cycles,0.5,2,right-left,power,0.0000004985,2718358.17778239,22901.4,22901.4
trace-1,gaussian,cycles,0.5,2,right-left,runtime,0.0000002475,2718358.17778173,26690.4,26690.4
trace-1,gaussian,cycles,0.5,2,right-left,runtime_ascending,0.0000008259,2718358.1777828,23348.8,23348.8
trace-1,gaussian,cycles,0.5,4,left,energy,0.0000011261,2718358.17778314,20550,20550
trace-1,gaussian,cycles,0.5,4,left,power,0.0000007312,2718358.17778235,23970.7,23970.7
trace-1,gaussian,cycles,0.5,4,left,runtime,0.0000011307,2718358.17778314,20550,20550
trace-1,gaussian,cycles,0.5,4,left,runtime_ascending,0.0000007464,2718358.17778288,24881.4,24881.4
trace-1,gaussian,cycles,0.5,4,none,energy,24102.1327726884,2694256.04501084,86740,86740
trace-1,gaussian,cycles,0.5,4,none,power,7616.142906965,2710742.03487529,48181.5,48181.5
trace-1,gaussian,cycles,0.5,4,none,runtime,24102.1327729143,2694256.04501062,86740,86740
trace-1,gaussian,cycles,0.5,4,none,runtime_ascending,0.000000832,2718358.17778325,40407,40407
trace-1,gaussian,cycles,0.5,4,right-left,energy,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0.5,4,right-left,power,0.0000007312,2718358.17778271,23970.7,23970.7
trace-1,gaussian,cycles,0.5,4,right-left,runtime,0.0000010973,2718358.17778307,20610,20610
trace-1,gaussian,cycles,0.5,4,right-left,runtime_ascending,0.0000007908,2718358.17778265,26567.1,26567.1
trace-1,gaussian,cycles,0.5,8,left,energy,0.0000000204,2718358.17778187,52722.4,52722.4
trace-1,gaussian,cycles,0.5,8,left,power,0.0000004856,2718358.17778204,49762.9,49762.9
trace-1,gaussian,cycles,0.5,8,left,runtime,0.0000002644,2718358.17778199,52722.4,52722.4
